Gerschgorin Discs for 225x225 matrix
Row   Centre        Radius        Lo            Hi            
1     225.0000      9588.9258     -9363.9258    9813.9258     
2     0.0000        6296.4865     -6296.4865    6296.4865     
3     -71.6644      5410.9450     -5482.6095    5339.2806     
4     -36.0379      5147.4251     -5183.4630    5111.3871     
5     -23.3614      5023.5656     -5046.9270    5000.2042     
6     -17.6203      4960.8191     -4978.4394    4943.1987     
7     -14.8284      4930.5609     -4945.3894    4915.7325     
8     -13.6569      4921.8061     -4935.4630    4908.1493     
9     -13.6569      4931.7325     -4945.3894    4918.0756     
10    -14.8284      4963.6109     -4978.4394    4948.7825     
11    -17.6203      5029.3067     -5046.9270    5011.6864     
12    -23.3614      5160.1015     -5183.4630    5136.7401     
13    -36.0379      5446.5715     -5482.6095    5410.5336     
14    -71.6644      6211.1652     -6282.8296    6139.5008     
15    -262.2882     9100.6377     -9362.9258    8838.3495     
16    0.0000        6310.1433     -6310.1433    6310.1433     
17    0.0000        3230.0470     -3230.0470    3230.0470     
18    -71.6644      2344.5056     -2416.1700    2272.8412     
19    -36.0379      2080.9856     -2117.0235    2044.9477     
20    -23.3614      1957.1262     -1980.4877    1933.7648     
21    -17.6203      1894.3797     -1912.0000    1876.7594     
22    -14.8284      1864.1215     -1878.9499    1849.2931     
23    -13.6569      1855.3667     -1869.0235    1841.7098     
24    -13.6569      1865.2931     -1878.9499    1851.6362     
25    -14.8284      1897.1716     -1912.0000    1882.3431     
26    -17.6203      1962.8674     -1980.4877    1945.2470     
27    -23.3614      2093.6621     -2117.0235    2070.3006     
28    -36.0379      2380.1321     -2416.1700    2344.0942     
29    -71.6644      3154.5190     -3226.1835    3082.8546     
30    -262.2882     6034.1983     -6296.4865    5771.9101     
31    0.0000        5486.4730     -5486.4730    5486.4730     
32    0.0000        2416.1700     -2416.1700    2416.1700     
33    -71.6644      1530.6286     -1602.2931    1458.9642     
34    -36.0379      1267.1086     -1303.1465    1231.0707     
35    -23.3614      1143.2492     -1166.6107    1119.8878     
36    -17.6203      1080.5027     -1098.1230    1062.8824     
37    -14.8284      1050.2445     -1065.0729    1035.4161     
38    -13.6569      1041.4897     -1055.1465    1027.8328     
39    -13.6569      1051.4161     -1065.0729    1037.7592     
40    -14.8284      1083.2946     -1098.1230    1068.4662     
41    -17.6203      1148.9904     -1166.6107    1131.3700     
42    -23.3614      1279.7851     -1303.1465    1256.4236     
43    -36.0379      1566.2551     -1602.2931    1530.2172     
44    -71.6644      2342.4102     -2414.0746    2270.7458     
45    -262.2882     5220.3213     -5482.6095    4958.0331     
46    0.0000        5185.5584     -5185.5584    5185.5584     
47    0.0000        2117.0235     -2117.0235    2117.0235     
48    -71.6644      1231.4821     -1303.1465    1159.8177     
49    -36.0379      967.9621      -1004.0000    931.9242      
50    -23.3614      844.1027      -867.4641     820.7413      
51    -17.6203      781.3562      -798.9765     763.7358      
52    -14.8284      751.0980      -765.9264     736.2695      
53    -13.6569      742.3431      -756.0000     728.6863      
54    -13.6569      752.2695      -765.9264     738.6127      
55    -14.8284      784.1481      -798.9765     769.3196      
56    -17.6203      849.8438      -867.4641     832.2235      
57    -23.3614      980.6385      -1004.0000    957.2771      
58    -36.0379      1267.1086     -1303.1465    1231.0707     
59    -71.6644      2043.8192     -2115.4836    1972.1548     
60    -262.2882     4921.1748     -5183.4630    4658.8866     
61    0.0000        5048.4669     -5048.4669    5048.4669     
62    0.0000        1980.4877     -1980.4877    1980.4877     
63    -71.6644      1094.9462     -1166.6107    1023.2818     
64    -36.0379      831.4262      -867.4641     795.3883      
65    -23.3614      707.5669      -730.9283     684.2054      
66    -17.6203      644.8203      -662.4406     627.2000      
67    -14.8284      614.5621      -629.3906     599.7337      
68    -13.6569      605.8073      -619.4641     592.1504      
69    -13.6569      615.7337      -629.3905     602.0768      
70    -14.8284      647.6122      -662.4406     632.7838      
71    -17.6203      713.3080      -730.9283     695.6877      
72    -23.3614      844.1027      -867.4641     820.7413      
73    -36.0379      1130.5728     -1166.6107    1094.5348     
74    -71.6644      1907.4529     -1979.1173    1835.7884     
75    -262.2882     4784.6389     -5046.9270    4522.3507     
76    0.0000        4979.8098     -4979.8098    4979.8098     
77    0.0000        1912.0000     -1912.0000    1912.0000     
78    -71.6644      1026.4586     -1098.1230    954.7941      
79    -36.0379      762.9386      -798.9765     726.9006      
80    -23.3614      639.0792      -662.4406     615.7177      
81    -17.6203      576.3326      -593.9530     558.7123      
82    -14.8284      546.0745      -560.9029     531.2460      
83    -13.6569      537.3196      -550.9765     523.6628      
84    -13.6569      547.2460      -560.9029     533.5892      
85    -14.8284      579.1245      -593.9530     564.2961      
86    -17.6203      644.8203      -662.4406     627.2000      
87    -23.3614      775.6150      -798.9765     752.2536      
88    -36.0379      1062.0851     -1098.1230    1026.0472     
89    -71.6644      1838.9309     -1910.5954    1767.2665     
90    -262.2882     4716.1512     -4978.4394    4453.8630     
91    0.0000        4946.7940     -4946.7940    4946.7940     
92    0.0000        1878.9499     -1878.9499    1878.9499     
93    -71.6644      993.4085      -1065.0729    921.7441      
94    -36.0379      729.8885      -765.9264     693.8506      
95    -23.3614      606.0291      -629.3906     582.6677      
96    -17.6203      543.2826      -560.9029     525.6622      
97    -14.8284      513.0244      -527.8528     498.1960      
98    -13.6569      504.2695      -517.9264     490.6127      
99    -13.6569      514.1960      -527.8528     500.5391      
100   -14.8284      546.0745      -560.9029     531.2460      
101   -17.6203      611.7702      -629.3906     594.1499      
102   -23.3614      742.5650      -765.9264     719.2035      
103   -36.0379      1029.0350     -1065.0729    992.9971      
104   -71.6644      1805.6666     -1877.3310    1734.0021     
105   -262.2882     4683.1012     -4945.3894    4420.8130     
106   0.0000        4937.0819     -4937.0819    4937.0819     
107   0.0000        1869.0235     -1869.0235    1869.0235     
108   -71.6644      983.4821      -1055.1465    911.8177      
